date,facility_id,production_units,kwh_consumed,gas_m3,runtime_hours,emissions_kg_co2e,shift,equipment_efficiency
2024-01-01,F001,950,18500,2300,22,52000,Day,0.85
2024-01-02,F001,1020,19800,2450,23,55500,Day,0.87
2024-01-03,F001,890,17200,2100,21,49000,Day,0.82
2024-01-04,F001,1100,21000,2600,24,58000,Day,0.89
2024-01-05,F001,980,18900,2350,22,53000,Day,0.84
2024-01-06,F001,850,16500,2000,20,47000,Weekend,0.80
2024-01-07,F001,820,16000,1950,19,45500,Weekend,0.79
2024-01-08,F001,1050,20200,2500,23,56500,Day,0.88
2024-01-09,F001,1080,20700,2550,24,57500,Day,0.88
2024-01-10,F001,970,18700,2320,22,52500,Day,0.85
2024-01-11,F001,1020,19600,2430,23,54500,Day,0.86
2024-01-12,F001,940,18100,2250,21,51000,Day,0.83
2024-01-13,F001,800,15600,1900,19,44500,Weekend,0.78
2024-01-14,F001,790,15400,1880,18,44000,Weekend,0.77
2024-01-15,F001,1120,21500,2650,24,59500,Day,0.90
2024-01-16,F001,1090,20900,2580,23,58000,Day,0.89
2024-01-17,F001,1010,19400,2400,22,54000,Day,0.86
2024-01-18,F001,990,19000,2360,22,53000,Day,0.85
2024-01-19,F001,1030,19800,2450,23,55000,Day,0.87
2024-01-20,F001,830,16200,1980,20,46000,Weekend,0.79
2024-01-21,F001,810,15800,1930,19,45000,Weekend,0.78
2024-01-22,F001,1070,20500,2530,23,57000,Day,0.88
2024-01-23,F001,1100,21100,2600,24,58500,Day,0.89
2024-01-24,F001,960,18500,2300,22,52000,Day,0.84
2024-01-25,F001,1000,19200,2380,22,53500,Day,0.86
2024-01-26,F001,920,17700,2200,21,50000,Day,0.83
2024-01-27,F001,840,16400,2000,20,46500,Weekend,0.80
2024-01-28,F001,820,16000,1950,19,45500,Weekend,0.79
2024-01-29,F001,1110,21300,2630,24,59000,Day,0.90
2024-01-30,F001,1080,20700,2560,23,57500,Day,0.88
2024-01-31,F001,1040,20000,2470,23,55500,Day,0.87
2024-02-01,F001,970,18700,2320,22,52500,Day,0.85
2024-02-02,F001,1020,19600,2430,23,54500,Day,0.86
2024-02-03,F001,850,16500,2010,20,47000,Weekend,0.80
2024-02-04,F001,830,16200,1980,19,46000,Weekend,0.79
2024-02-05,F001,1090,20900,2580,23,58000,Day,0.89
2024-02-06,F001,1120,21500,2650,24,59500,Day,0.90
2024-02-07,F001,980,18900,2340,22,53000,Day,0.84
2024-02-08,F001,1010,19400,2400,22,54000,Day,0.86
2024-02-09,F001,940,18100,2250,21,51000,Day,0.83
2024-02-10,F001,810,15800,1930,19,45000,Weekend,0.78
2024-02-11,F001,800,15600,1900,18,44500,Weekend,0.77
2024-02-12,F001,1100,21100,2600,24,58500,Day,0.89
2024-02-13,F001,1070,20500,2530,23,57000,Day,0.88
